,Datum,Song,Interpret
149,"29.09.2021,14.18 Uhr",Broken wings,Mr. Mister
150,"29.09.2021,14.26 Uhr",Faded Love,Leony
151,"29.09.2021,14.35 Uhr",Hypnotized,Purple Disco Machine & Sophie and the Giants
152,"29.09.2021,14.38 Uhr",Crazy,Seal
153,"29.09.2021,14.45 Uhr",Spirits,The Strumbellas
154,"29.09.2021,14.48 Uhr",Love again,Dua Lipa
155,"29.09.2021,14.53 Uhr",Stop,Sam Brown
156,"29.09.2021,15.05 Uhr",Following The Sun,SUPER-Hi x Neeka
157,"29.09.2021,15.08 Uhr",The look,Roxette
158,"29.09.2021,15.12 Uhr",Better,Lena & Nico Santos
159,"29.09.2021,15.22 Uhr",Stay,The Kid LAROI & Justin Bieber
160,"29.09.2021,15.25 Uhr",I don't wanna lose you,Tina Turner
161,"29.09.2021,15.35 Uhr",In My Bones,Ray Dalton
162,"29.09.2021,15.38 Uhr",Human,The Killers
163,"29.09.2021,15.42 Uhr",Cover me in sunshine,Pink
164,"29.09.2021,15.46 Uhr",Tage wie diese,Die Toten Hosen
165,"29.09.2021,15.51 Uhr",Somebody that I used to know,Gotye feat. Kimbra
166,"29.09.2021,15.55 Uhr",Imagine,John Lennon
167,"29.09.2021,16.05 Uhr",Small Steps,Tom Gregory
168,"29.09.2021,16.08 Uhr",Tom's diner,Suzanne Vega
169,"29.09.2021,16.11 Uhr",One more time,Robin Schulz & Felix Jaehn feat. Alida
170,"29.09.2021,16.17 Uhr",Little wonders,Rob Thomas
171,"29.09.2021,16.17 Uhr",Stupid Love,Lady Gaga
172,"29.09.2021,16.21 Uhr",Stupid Love,Lady Gaga
173,"29.09.2021,16.25 Uhr",You let me walk alone,Michael Schulte
174,"29.09.2021,16.36 Uhr",Savage Love,Jawsh 685 feat. Jason Derulo
175,"29.09.2021,16.39 Uhr",Sweet sixteen,Billy Idol
176,"29.09.2021,16.41 Uhr",Bad Habits,Ed Sheeran
177,"29.09.2021,16.47 Uhr",Nothing breaks like a heart,Mark Ronson & Miley Cyrus
178,"29.09.2021,16.51 Uhr",Friendships (Lost My Love),Pascal Letoublon feat. Leony
179,"29.09.2021,16.54 Uhr",Cats in the cradle,Ugly Kid Joe
180,"29.09.2021,17.06 Uhr",We are the people,Martin Garrix feat. Bono & The Edge
181,"29.09.2021,17.10 Uhr",Talkin' 'bout a revolution,Tracy Chapman
182,"29.09.2021,17.12 Uhr",Whatever it takes,Milow
183,"29.09.2021,17.20 Uhr",If I were sorry,Frans
184,"29.09.2021,17.23 Uhr",Good 4 U,Olivia Rodrigo
185,"29.09.2021,17.26 Uhr",Children,Robert Miles
186,"29.09.2021,17.35 Uhr",Jerusalema,Master KG feat. Nomcebo Zikode
187,"29.09.2021,17.38 Uhr",One day in your life,Anastacia
188,"29.09.2021,17.41 Uhr",Little bit of love,Tom Grennan
189,"29.09.2021,17.47 Uhr",Chandelier,Sia
190,"29.09.2021,17.53 Uhr",I won't let you down,Ph D
191,"29.09.2021,18.05 Uhr",Higher power,Coldplay
192,"29.09.2021,18.08 Uhr",Smooth operator,Sade
193,"29.09.2021,18.12 Uhr",Cold heart (PNAU Remix),Elton John & Dua Lipa
194,"29.09.2021,18.18 Uhr",Roar,Katy Perry
195,"29.09.2021,18.21 Uhr",California,Phantom Planet
196,"29.09.2021,18.25 Uhr",Der letzte Tag,Max Giesinger
197,"29.09.2021,18.31 Uhr",ily (i love you baby),Surf Mesa feat. Emilee
198,"29.09.2021,18.34 Uhr",No son of mine,Genesis
199,"29.09.2021,18.36 Uhr",Call me maybe,Carly Rae Jepsen
200,"29.09.2021,18.44 Uhr",River,Tom Gregory
201,"29.09.2021,18.47 Uhr",Thank you,Dido
202,"29.09.2021,18.50 Uhr",Love tonight,Shouse
203,"29.09.2021,18.54 Uhr",Walk of life,Dire Straits
204,"29.09.2021,20.06 Uhr",Humans,The Faim
205,"29.09.2021,20.09 Uhr",Jungle drum,Emiliana Torrini
206,"29.09.2021,20.11 Uhr",Berlin,RY X
207,"29.09.2021,20.15 Uhr",If You Really Love Me (How Will I Know),David Guetta x MistaJam x John Newman
208,"29.09.2021,20.18 Uhr",I can't stop thinking about you,Sting
209,"29.09.2021,20.24 Uhr",No Time To Die,Billie Eilish
210,"29.09.2021,20.29 Uhr",Woman in chains,Tears for Fears
211,"29.09.2021,20.34 Uhr",Midnight sky,Miley Cyrus
212,"29.09.2021,20.38 Uhr",Remember me,The Blue Boy
213,"29.09.2021,20.42 Uhr",Better days,Dermot Kennedy
214,"29.09.2021,20.45 Uhr",Karma,Alicia Keys
215,"29.09.2021,20.50 Uhr",Harmony Hall,Vampire Weekend
216,"29.09.2021,21.05 Uhr",Physical,Dua Lipa
217,"29.09.2021,21.08 Uhr",Why does it always rain on me,Travis
218,"29.09.2021,21.12 Uhr",If I had eyes,Jack Johnson
219,"29.09.2021,21.18 Uhr",Strip,Lena
220,"29.09.2021,21.20 Uhr",Free,Rudimental feat. Emeli Sandé
221,"29.09.2021,21.24 Uhr",Someone somewhere in summertime,Simple Minds
222,"29.09.2021,21.33 Uhr",Adore you,Harry Styles
223,"29.09.2021,21.37 Uhr",Skate,Bruno Mars & Anderson Paak feat. Silk Sonic
224,"03.12.2021,21.54 Uhr",Love Under Pressure,James Blunt
225,"03.12.2021,22.21 Uhr",Juice,Lizzo
226,"03.12.2021,22.43 Uhr",Closer,Kelvin Jones
227,"03.12.2021,22.49 Uhr",How not to drown,Chvrches feat. Robert Smith
228,"03.12.2021,22.56 Uhr",Higher love,Steve Winwood
229,"03.12.2021,23.10 Uhr",Manila,Ray Dalton x Alvaro Soler
230,"03.12.2021,23.19 Uhr",Ich Warte Auf Dich,Bosse
231,"03.12.2021,23.25 Uhr",Nothing compares 2 U,Prince
232,"03.12.2021,22.53 Uhr",Stay,The Kid LAROI & Justin Bieber
233,"03.12.2021,23.04 Uhr",Clean Eyes,SYML
234,"03.12.2021,23.07 Uhr",Karma,Alicia Keys
235,"03.12.2021,23.14 Uhr",Back to life,Soul II Soul
236,"03.12.2021,23.23 Uhr",Nevermind,Dennis Lloyd
237,"04.12.2021,00.07 Uhr",Doesn't mean anything,Alicia Keys
238,"04.12.2021,00.15 Uhr",Something in the way you move,Ellie Goulding
239,"04.12.2021,00.27 Uhr",One night,Griff
240,"04.12.2021,00.37 Uhr",Fingertips,Tom Gregory
241,"04.12.2021,00.46 Uhr","Bills, bills, bills",Destiny's Child
242,"04.12.2021,00.53 Uhr",Live with me,Massive Attack
243,"04.12.2021,01.04 Uhr",Overpass graffiti,Ed Sheeran
244,"04.12.2021,01.10 Uhr",Summer of love,Shawn Mendes & Tainy
245,"04.12.2021,01.20 Uhr",So kann es weitergehen,Philipp Dittberner & Marv
246,"04.12.2021,01.30 Uhr",Cornflake girl,Tori Amos
247,"04.12.2021,01.43 Uhr",Kids,MGMT
248,"04.12.2021,01.53 Uhr",You & I,Crystal Fighters
249,"04.12.2021,01.56 Uhr",Island,Alice Merton
250,"04.12.2021,01.26 Uhr",Where do we go,Dominic Neill
251,"04.12.2021,01.35 Uhr",Follow you,Imagine Dragons
252,"04.12.2021,01.48 Uhr",That's how it goes,Zoe Wees feat. 6lack
253,"04.12.2021,02.04 Uhr",Heat waves,Glass Animals
254,"04.12.2021,02.07 Uhr",Bad romance,Lady GaGa
255,"04.12.2021,02.12 Uhr",Mercy,Dotan
256,"04.12.2021,02.23 Uhr",Diamonds,Sam Smith
257,"04.12.2021,02.27 Uhr",Book of love,Felix Jaehn feat. Polina
258,"04.12.2021,02.37 Uhr",Christmas all over again,Tom Petty & The Heartbreakers
259,"04.12.2021,02.51 Uhr",You broke me first,Tate McRae
260,"04.12.2021,02.56 Uhr",Nothing but the love,Wrabel
261,"04.12.2021,03.10 Uhr",Better days,Dermot Kennedy
262,"04.12.2021,03.18 Uhr",Bad day,Daniel Powter
263,"04.12.2021,03.30 Uhr",Didn't I,OneRepublic
264,"04.12.2021,03.40 Uhr",Te amo,Rihanna
265,"04.12.2021,03.47 Uhr",Let's love,David Guetta & Sia
266,"04.12.2021,03.56 Uhr",Just goes to show,Eliza Shaddad
267,"04.12.2021,04.07 Uhr",These days,Powderfinger
268,"04.12.2021,04.15 Uhr",Wonderful life,Hurts
269,"04.12.2021,04.18 Uhr",Hurts 2B human,P!nk feat. Khalid
270,"04.12.2021,04.26 Uhr",The truth,James Blunt
271,"04.12.2021,04.37 Uhr",In the name of love,Martin Garrix & Bebe Rexha
272,"04.12.2021,04.48 Uhr",I'd lie for you (and that's the trut,Meat Loaf
273,"04.12.2021,04.56 Uhr",Beautiful drug,Bon Jovi
274,"04.12.2021,05.04 Uhr",Friendships (Lost my love),Pascal Letoublon feat. Leony
275,"04.12.2021,05.16 Uhr",Ok not to be ok,Marshmello & Demi Lovato
276,"04.12.2021,05.23 Uhr",Control,Zoe Wees
277,"04.12.2021,05.32 Uhr",Bad habits,Ed Sheeran
278,"04.12.2021,05.44 Uhr",Out out,Joel Corry feat. Charli XCX & Saweetie
279,"04.12.2021,05.51 Uhr",Into the groove,Madonna
280,"04.12.2021,06.05 Uhr",EveryTime I Cry,Ava Max
281,"04.12.2021,06.14 Uhr",Footprints,Tom Gregory
282,"04.12.2021,06.23 Uhr",Der letzte Tanz,Bosse
283,"04.12.2021,06.33 Uhr",Savage Love,Jawsh 685 feat. Jason Derulo
284,"04.12.2021,06.43 Uhr",Blurry eyes,Michael Patrick Kelly
285,"04.12.2021,06.52 Uhr",Alright,Alle Farben feat. KIDDO
286,"04.12.2021,06.55 Uhr",Through the eyes of a child,Reamonn
287,"04.12.2021,07.08 Uhr",Walking away,Craig David
288,"04.12.2021,07.23 Uhr",Dopamine,Purple Disco Machine feat. Eyelar
289,"04.12.2021,07.33 Uhr",Magia,Alvaro Soler
290,"04.12.2021,07.42 Uhr",Lips are movin',Meghan Trainor
291,"04.12.2021,07.51 Uhr",Where are you now,Lost Frequencies x Calum Scott
292,"04.12.2021,00.57 Uhr",Secrets,Regard & Raye
293,"04.12.2021,01.08 Uhr",Your song,Rita Ora
294,"04.12.2021,01.17 Uhr",Glow,Kelly Clarkson
295,"04.12.2021,02.15 Uhr",Nights like this,St. Lundi
296,"04.12.2021,02.19 Uhr",Do they know it's Christmas?,Band Aid
297,"04.12.2021,02.32 Uhr",Here is gone,The Goo Goo Dolls
298,"04.12.2021,02.36 Uhr",Faith,George Michael
299,"04.12.2021,02.37 Uhr",Christmas all over again,Tom and The Heartbreakers Petty
300,"04.12.2021,02.42 Uhr",Cold heart,Dua Lipa Elton John
301,"04.12.2021,02.45 Uhr",The sweet escape,Gwen Stefani feat. Akon
302,"04.12.2021,02.48 Uhr",Let you,Iann Dior
303,"04.12.2021,02.53 Uhr",Tell it to my heart,Taylor Dayne
304,"04.12.2021,03.04 Uhr",My universe,Coldplay x BTS
305,"04.12.2021,03.07 Uhr",Friends,Aura Dione feat. Rock Mafia
306,"04.12.2021,03.15 Uhr",In-between,Lily Moore feat. Maverick Sabre
307,"04.12.2021,03.18 Uhr",All I want for Christmas is you,Mariah Carey
308,"04.12.2021,03.18 Uhr",Satellite,Lena Meyer-Landrut
309,"04.12.2021,03.22 Uhr",Too much,Matt Simons
310,"04.12.2021,03.25 Uhr",All alone on Christmas,Darlene Love
311,"04.12.2021,03.33 Uhr",The other side (from Trolls World Tour),SZA & Justin Timberlake
312,"04.12.2021,03.37 Uhr",Thats what I want,Lil Nas X
313,"04.12.2021,03.44 Uhr",Don't break the heart,Tom Grennan
314,"04.12.2021,03.51 Uhr",Rebel yell,Billy Idol
315,"04.12.2021,04.04 Uhr",Alright,Alle Farben feat. Kiddo
316,"04.12.2021,04.11 Uhr",Summer of 19,Pelican X Sherwee X Ann Christine
317,"04.12.2021,04.22 Uhr",Driving home for Christmas,Chris Rea
318,"04.12.2021,04.31 Uhr",Can't fight the moonlight (Theme),LeAnn Rimes
319,"04.12.2021,04.35 Uhr",Throwback,Michael Patrick Kelly
320,"04.12.2021,04.41 Uhr",Why don't ya,Alex Clare
321,"04.12.2021,04.44 Uhr",Dopamine,Purple Disco Machine Feat. Eyelar
322,"04.12.2021,04.52 Uhr",Sky love,Foxes
323,"04.12.2021,05.12 Uhr",Looks like me,Dean Lewis
324,"04.12.2021,05.19 Uhr",Monster,Walking On Cars
325,"04.12.2021,05.27 Uhr",One more time (feat. alida),Robin Schulz & Felix Jaehn feat. Alida
326,"04.12.2021,05.36 Uhr",Stay the night,Zedd feat. Hayley Williams
327,"04.12.2021,05.40 Uhr",Christmas without you,Sheppard
328,"04.12.2021,05.50 Uhr",Don't let me down,Milky Chance & Jack Johnson
329,"04.12.2021,05.56 Uhr",Unknown (to you),Jacob Banks
330,"04.12.2021,06.08 Uhr",Drive,The Cars
331,"04.12.2021,06.17 Uhr",Your song,Rita Ora
332,"04.12.2021,06.26 Uhr",Mr Rock & Roll,Amy Macdonald
333,"04.12.2021,06.35 Uhr",Tubthumping,Chumbawamba
334,"04.12.2021,06.46 Uhr",Lieder,Adel Tawil
335,"04.12.2021,07.06 Uhr",Love tonight,Shouse
336,"04.12.2021,07.15 Uhr",Some say,Nea
337,"04.12.2021,07.17 Uhr",Gold,Spandau Ballet
338,"04.12.2021,07.26 Uhr",Blame it on me,George Ezra
339,"04.12.2021,07.36 Uhr",Christmas Time,Bryan Adams
340,"04.12.2021,07.45 Uhr",Give a little bit,The Goo Goo Dolls
341,"04.12.2021,07.54 Uhr",Right here waiting,Richard Marx
